priority,name,path,intake_stage,state,dirty_entries,staged,unstaged,untracked,branch,ahead_behind
1,MJS Financial Dash Backup,MJS Financial Dash backup 20260310_153810,archive,dirty,53,0,20,33,main,## main...origin/main
7,Archiavellian-Archive,Archiavellian-Archive,archive,dirty,3,0,0,3,main,## main...origin/main [ahead 1]
11,MJS Financial Dash,MJS Financial Dash,active,dirty,68,0,23,45,codex/finance-snapshot-onboarding,## codex/finance-snapshot-onboarding...origin/codex/finance-snapshot-onboarding
11,Aneumind and TC Structure,Aneumind and TC Structure,active,dirty,48,0,3,45,codex/taylor-shell-claim-scenario,## codex/taylor-shell-claim-scenario
11,Teach - Zahmeir Learning System,App Builder/Teach/zahmeir-learning-system,active,dirty,21,0,19,2,feat/lesson-1-direct-launch,## feat/lesson-1-direct-launch...origin/feat/lesson-1-direct-launch [ahead 1]
11,Producer,Producer,active,dirty,17,0,7,10,main,## main...origin/main [ahead 3]
11,Teach - Home Learning Playbook,App Builder/Teach/home-learning-playbook,active,dirty,12,0,6,6,main,## main...origin/main [ahead 1]
11,Momentum-OS,Momentum-OS,active,dirty,11,0,5,6,main,## main...origin/main [ahead 3]
99,App Builder,App Builder/App Builder,active,clean,0,0,0,0,codex/project-manager-scaffold,## codex/project-manager-scaffold...origin/codex/project-manager-scaffold [ahead 3]
99,MJSDS Dashboard,GitHub/mjsds_dashboard,active,clean,0,0,0,0,main,## main...origin/main [ahead 1]
99,MJSDS Website,mjsds-website,onboarding,clean,0,0,0,0,main,## main
99,provider-access-hub,provider-access-hub,active,clean,0,0,0,0,main,## main...origin/main [ahead 1]
99,Resume Builder,Resume Builder,onboarding,clean,0,0,0,0,main,## main
99,TuneFab,TuneFab,archive,clean,0,0,0,0,main,## main
99,Wayne Strain,Wayne Strain,active,clean,0,0,0,0,codex/milestone-1-jurisdiction-research,## codex/milestone-1-jurisdiction-research...origin/codex/milestone-1-jurisdiction-research [ahead 1]
